Position, TimeStamp, PropId, EOSUsername, UPXCost
90168498,2021-09-18T05:30:42.000,78053214267194,lseaszyufygi,10.00 UPX
90168653,2021-09-18T05:30:56.500,78053214267194,lseaszyufygi,10.00 UPX
90168686,2021-09-18T05:31:04.500,78053214267194,lseaszyufygi,10.00 UPX
90168717,2021-09-18T05:31:14.500,78053214267194,lseaszyufygi,10.00 UPX
90168749,2021-09-18T05:31:23.000,78053214267194,lseaszyufygi,10.00 UPX
90168796,2021-09-18T05:31:31.500,78053214267194,lseaszyufygi,10.00 UPX
90168861,2021-09-18T05:31:46.000,78053214267194,lseaszyufygi,10.00 UPX
90168897,2021-09-18T05:31:52.500,78053214267194,lseaszyufygi,10.00 UPX
90170806,2021-09-18T05:39:54.500,78053214267194,lseaszyufygi,10.00 UPX
90170864,2021-09-18T05:40:11.000,78053214267194,lseaszyufygi,10.00 UPX
90170881,2021-09-18T05:40:18.000,78053214267194,lseaszyufygi,10.00 UPX
90170908,2021-09-18T05:40:24.500,78053214267194,lseaszyufygi,10.00 UPX
90170951,2021-09-18T05:40:33.500,78053214267194,lseaszyufygi,10.00 UPX
90170972,2021-09-18T05:40:41.500,78053214267194,lseaszyufygi,10.00 UPX
90171002,2021-09-18T05:40:49.000,78053214267194,lseaszyufygi,10.00 UPX
90171031,2021-09-18T05:40:57.000,78053214267194,lseaszyufygi,10.00 UPX
90173913,2021-09-18T05:55:24.500,78053214267194,ccq4ysfigro5,10.00 UPX
90174044,2021-09-18T05:56:06.500,78053214267194,ccq4ysfigro5,10.00 UPX
90174136,2021-09-18T05:56:30.500,78053214267194,ccq4ysfigro5,10.00 UPX
90174267,2021-09-18T05:57:12.000,78053214267194,ccq4ysfigro5,10.00 UPX
90174299,2021-09-18T05:57:22.000,78053214267194,ccq4ysfigro5,10.00 UPX
90174366,2021-09-18T05:57:50.000,78053214267194,ccq4ysfigro5,10.00 UPX
90174467,2021-09-18T05:58:19.500,78053214267194,ccq4ysfigro5,10.00 UPX
90174714,2021-09-18T06:00:06.000,78053214267194,ccq4ysfigro5,10.00 UPX
90174996,2021-09-18T06:00:22.000,78053214267194,ccq4ysfigro5,10.00 UPX
90175169,2021-09-18T06:00:30.500,78053214267194,ccq4ysfigro5,10.00 UPX
90175666,2021-09-18T06:01:29.500,79566619660565,a35qhqbahlpv,20.00 UPX
90181475,2021-09-18T06:21:14.500,79520616529774,atasxn2kbxjd,20.00 UPX
90181698,2021-09-18T06:22:26.000,79520616529774,atasxn2kbxjd,20.00 UPX
90181887,2021-09-18T06:23:05.000,79520616529774,atasxn2kbxjd,20.00 UPX
90196756,2021-09-18T07:36:31.000,81333278573795,chkhlswvpwmq,10.00 UPX
90196798,2021-09-18T07:36:45.500,81333278573795,chkhlswvpwmq,10.00 UPX
90196848,2021-09-18T07:37:00.500,81333278573795,chkhlswvpwmq,10.00 UPX
90202672,2021-09-18T08:06:37.500,78053214267194,pmixp24cyddq,10.00 UPX
90206297,2021-09-18T08:22:19.000,78053214267194,d5zlpvh1n45x,10.00 UPX
90206345,2021-09-18T08:22:30.500,78053214267194,d5zlpvh1n45x,10.00 UPX
90206404,2021-09-18T08:22:38.500,78053214267194,d5zlpvh1n45x,10.00 UPX
90206733,2021-09-18T08:24:22.000,82107328554437,xkhnwh5fuhlt,20.00 UPX
90206978,2021-09-18T08:25:39.000,78897980593015,wwfrv3scoyt4,10.00 UPX
90215166,2021-09-18T09:07:04.000,78053214267194,jxgnecvg1gdl,10.00 UPX
90215177,2021-09-18T09:07:11.000,78053214267194,jxgnecvg1gdl,10.00 UPX
90215190,2021-09-18T09:07:18.000,78053214267194,jxgnecvg1gdl,10.00 UPX
90217057,2021-09-18T09:16:03.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90217130,2021-09-18T09:16:28.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90217145,2021-09-18T09:16:34.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90217175,2021-09-18T09:16:42.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90218156,2021-09-18T09:20:45.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90218212,2021-09-18T09:20:59.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90218226,2021-09-18T09:21:05.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90218575,2021-09-18T09:22:45.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90218653,2021-09-18T09:23:01.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90218687,2021-09-18T09:23:06.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90218711,2021-09-18T09:23:15.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90219002,2021-09-18T09:24:40.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90219059,2021-09-18T09:24:54.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90219094,2021-09-18T09:25:00.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90219121,2021-09-18T09:25:08.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90219421,2021-09-18T09:27:12.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90219496,2021-09-18T09:27:37.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90219513,2021-09-18T09:27:43.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90220528,2021-09-18T09:31:31.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90220551,2021-09-18T09:31:44.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90220563,2021-09-18T09:31:51.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90220573,2021-09-18T09:31:56.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221054,2021-09-18T09:34:53.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221108,2021-09-18T09:35:07.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221130,2021-09-18T09:35:15.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221142,2021-09-18T09:35:21.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221629,2021-09-18T09:38:06.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221689,2021-09-18T09:38:19.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221701,2021-09-18T09:38:26.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90221725,2021-09-18T09:38:32.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222193,2021-09-18T09:40:50.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222232,2021-09-18T09:41:03.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222243,2021-09-18T09:41:08.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222262,2021-09-18T09:41:15.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222512,2021-09-18T09:42:46.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222565,2021-09-18T09:43:00.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222592,2021-09-18T09:43:09.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222605,2021-09-18T09:43:15.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222851,2021-09-18T09:44:22.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222891,2021-09-18T09:44:37.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222913,2021-09-18T09:44:44.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222940,2021-09-18T09:44:50.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90222965,2021-09-18T09:44:57.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90223536,2021-09-18T09:48:22.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90223606,2021-09-18T09:48:36.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90223629,2021-09-18T09:48:42.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90223669,2021-09-18T09:48:49.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90223684,2021-09-18T09:48:56.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90223702,2021-09-18T09:49:04.500,81333278573795,hwnb1q1ssvqx,10.00 UPX
90224219,2021-09-18T09:51:16.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90224302,2021-09-18T09:51:31.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90224330,2021-09-18T09:51:37.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90224362,2021-09-18T09:51:43.000,81333278573795,hwnb1q1ssvqx,10.00 UPX
90229876,2021-09-18T10:15:34.500,78897980593015,xcx4hcrqhp4u,10.00 UPX
90229904,2021-09-18T10:15:46.000,78897980593015,xcx4hcrqhp4u,10.00 UPX
90229934,2021-09-18T10:15:53.000,78897980593015,xcx4hcrqhp4u,10.00 UPX
90229965,2021-09-18T10:16:00.000,78897980593015,xcx4hcrqhp4u,10.00 UPX
90230266,2021-09-18T10:17:06.000,78897980593015,wwfrv3scoyt4,10.00 UPX
90230389,2021-09-18T10:17:30.500,78897980593015,wwfrv3scoyt4,10.00 UPX
90230864,2021-09-18T10:19:42.000,78897980593015,xcx4hcrqhp4u,10.00 UPX
90230903,2021-09-18T10:19:49.500,78897980593015,xcx4hcrqhp4u,10.00 UPX
90231380,2021-09-18T10:21:52.000,78897980593015,xcx4hcrqhp4u,10.00 UPX
90231403,2021-09-18T10:22:02.000,78897980593015,xcx4hcrqhp4u,10.00 UPX
90231423,2021-09-18T10:22:09.000,78897980593015,xcx4hcrqhp4u,10.00 UPX
90231618,2021-09-18T10:22:52.000,78897980593015,wwfrv3scoyt4,10.00 UPX
90237808,2021-09-18T10:49:18.000,81356145919400,mt55oanqosg4,20.00 UPX
90237847,2021-09-18T10:49:32.000,81356145919400,mt55oanqosg4,20.00 UPX
90237871,2021-09-18T10:49:39.000,81356145919400,mt55oanqosg4,20.00 UPX
90237899,2021-09-18T10:49:45.500,81356145919400,mt55oanqosg4,20.00 UPX
90237922,2021-09-18T10:49:52.000,81356145919400,mt55oanqosg4,20.00 UPX
90237962,2021-09-18T10:49:58.500,81356145919400,mt55oanqosg4,20.00 UPX
90253429,2021-09-18T11:59:12.000,81356145919400,mt55oanqosg4,20.00 UPX
90253525,2021-09-18T11:59:33.000,81356145919400,mt55oanqosg4,20.00 UPX
90253544,2021-09-18T11:59:41.000,81356145919400,mt55oanqosg4,20.00 UPX
90253581,2021-09-18T11:59:47.500,81356145919400,mt55oanqosg4,20.00 UPX
90253605,2021-09-18T11:59:57.500,81356145919400,mt55oanqosg4,20.00 UPX
90253621,2021-09-18T12:00:01.000,81356145919400,mt55oanqosg4,20.00 UPX
90253655,2021-09-18T12:00:08.500,81356145919400,mt55oanqosg4,20.00 UPX
90253764,2021-09-18T12:00:16.000,81356145919400,mt55oanqosg4,20.00 UPX
90262569,2021-09-18T12:30:18.000,81333278573795,dgphd44vjwf3,10.00 UPX
90263171,2021-09-18T12:30:57.000,81333278573795,dgphd44vjwf3,10.00 UPX
90263219,2021-09-18T12:31:09.000,81333278573795,dgphd44vjwf3,10.00 UPX
90263248,2021-09-18T12:31:18.000,81333278573795,dgphd44vjwf3,10.00 UPX
90263290,2021-09-18T12:31:30.000,81333278573795,dgphd44vjwf3,10.00 UPX
90263316,2021-09-18T12:31:36.500,81333278573795,dgphd44vjwf3,10.00 UPX
90263360,2021-09-18T12:31:50.500,81333278573795,dgphd44vjwf3,10.00 UPX
90265045,2021-09-18T12:38:27.000,81333278573795,lbanihjhdt2s,10.00 UPX
90265314,2021-09-18T12:39:31.500,81333278573795,dgphd44vjwf3,10.00 UPX
90265462,2021-09-18T12:40:01.000,81333278573795,dgphd44vjwf3,10.00 UPX
90265606,2021-09-18T12:40:33.000,81333278573795,dgphd44vjwf3,10.00 UPX
90265696,2021-09-18T12:40:51.000,81333278573795,dgphd44vjwf3,10.00 UPX
90265783,2021-09-18T12:41:08.000,81333278573795,dgphd44vjwf3,10.00 UPX
90265832,2021-09-18T12:41:17.000,81333278573795,dgphd44vjwf3,10.00 UPX
90265872,2021-09-18T12:41:23.000,81333278573795,dgphd44vjwf3,10.00 UPX
90267743,2021-09-18T12:46:55.000,81333278573795,dgphd44vjwf3,10.00 UPX
90267907,2021-09-18T12:47:13.000,81333278573795,dgphd44vjwf3,10.00 UPX
90267947,2021-09-18T12:47:23.000,81333278573795,dgphd44vjwf3,10.00 UPX
90268000,2021-09-18T12:47:34.500,81333278573795,dgphd44vjwf3,10.00 UPX
90268051,2021-09-18T12:47:44.000,81333278573795,dgphd44vjwf3,10.00 UPX
90268094,2021-09-18T12:47:53.000,81333278573795,dgphd44vjwf3,10.00 UPX
90269872,2021-09-18T12:53:27.000,81333278573795,dgphd44vjwf3,10.00 UPX
90270016,2021-09-18T12:54:06.000,81333278573795,dgphd44vjwf3,10.00 UPX
90270082,2021-09-18T12:54:19.500,81333278573795,dgphd44vjwf3,10.00 UPX
